version,tagId,timestamp,x,y,z,success,blinkIndex,latency,anchorid1,anchorid2,anchorid3,anchorid4,anchorid5,rss1,rss2,rss3,rss4,rss5,converted_date,time
2.1,200000639,1688737316.235659,,,,False,51651,18,5018,5043,5084,,,-83,-85.0,-100.0,,,2023-07-07,08:41:56.235
2.1,200000636,1688737316.2174568,,,,False,541715,216,5018,5043,,,,-85,-90.0,,,,2023-07-07,08:41:56.217
2.1,200000662,1688737316.630228,,,,False,26725,20,5018,5043,5084,,,-85,-84.0,-100.0,,,2023-07-07,08:41:56.630
2.1,200000636,1688737317.2445219,,,,False,541716,16,5018,5043,5084,5094,,-88,-93.0,-120.0,-101.0,,2023-07-07,08:41:57.244
2.1,200000637,1688737317.5512528,,,,False,17626,33,5018,5043,5084,5094,,-82,-85.0,-87.0,-89.0,,2023-07-07,08:41:57.551
2.1,200000662,1688737317.618284,,,,False,26726,28,5018,5043,5084,,,-90,-81.0,-97.0,,,2023-07-07,08:41:57.618
2.1,200000641,1688737318.210989,,,,False,472210,19,5018,5043,5077,5084,5094,-81,-84.0,-100.0,-87.0,-89.0,2023-07-07,08:41:58.210
2.1,200000636,1688737318.265564,,,,False,541717,24,5018,5043,5094,,,-87,-91.0,-98.0,,,2023-07-07,08:41:58.265
2.1,200000637,1688737318.556119,,,,False,17627,25,5018,5043,5077,5084,5094,-82,-84.0,-120.0,-88.0,-89.0,2023-07-07,08:41:58.556
2.1,200000636,1688737319.262872,,,,False,541718,23,5018,5043,5094,,,-85,-88.0,-94.0,,,2023-07-07,08:41:59.262
2.1,200000637,1688737319.556067,,,,False,17628,35,5018,5043,5077,5084,5094,-82,-85.0,-98.0,-88.0,-90.0,2023-07-07,08:41:59.556
2.1,200000639,1688737320.2701008,,,,False,51655,21,5018,5043,5077,5084,5094,-83,-84.0,-104.0,-95.0,-105.0,2023-07-07,08:42:00.270
2.1,200000636,1688737320.235709,,,,False,541719,233,5018,5043,,,,-85,-92.0,,,,2023-07-07,08:42:00.235
2.1,200000638,1688737320.6583009,,,,False,8779,25,5018,5043,5077,5084,5094,-81,-82.0,-89.0,-84.0,-83.0,2023-07-07,08:42:00.658
2.1,200000636,1688737321.254999,,,,False,541720,29,5018,5043,5094,,,-85,-89.0,-94.0,,,2023-07-07,08:42:01.254
2.1,200000637,1688737321.6028419,,,,False,17630,30,5018,5043,5077,5084,5094,-82,-85.0,-97.0,-88.0,-90.0,2023-07-07,08:42:01.602
2.1,200000636,1688737322.300508,,,,False,541721,22,5018,5043,5094,,,-88,-88.0,-95.0,,,2023-07-07,08:42:02.300
2.1,200000637,1688737322.623297,,,,False,17631,26,5018,5043,5077,5084,5094,-81,-84.0,-99.0,-87.0,-86.0,2023-07-07,08:42:02.623
2.1,200000638,1688737322.688886,,,,False,8781,36,5018,5043,5077,5084,5094,-82,-82.0,-87.0,-81.0,-82.0,2023-07-07,08:42:02.688
2.1,200000639,1688737323.227558,,,,False,51658,19,5018,5043,5077,5084,5094,-83,-85.0,-97.0,-93.0,-95.0,2023-07-07,08:42:03.227
2.1,200000636,1688737323.3338609,,,,False,541722,15,5018,5043,5094,,,-87,-88.0,-93.0,,,2023-07-07,08:42:03.333
2.1,200000637,1688737323.623416,,,,False,17632,21,5018,5043,5077,5084,5094,-82,-84.0,-101.0,-86.0,-89.0,2023-07-07,08:42:03.623
2.1,200000636,1688737324.3417718,,,,False,541723,22,5018,5043,5084,5094,,-82,-89.0,-90.0,-95.0,,2023-07-07,08:42:04.341
2.1,200000637,1688737324.62288,,,,False,17633,17,5018,5043,5077,5084,5094,-81,-83.0,-95.0,-87.0,-90.0,2023-07-07,08:42:04.622
2.1,200000636,1688737325.337596,,,,False,541724,25,5018,5043,5084,5094,,-84,-95.0,-99.0,-91.0,,2023-07-07,08:42:05.337
2.1,200000637,1688737325.6570969,-13965.0,14130.0,1000.0,True,17634,21,5018,5043,5077,5084,5094,-83,-83.0,-89.0,-85.0,-83.0,2023-07-07,08:42:05.657
